Filename,IoU_Score,Calculated_Sag,Coefficient_A,Coefficient_B,Coefficient_C
image_40_bg9_syn3.jpg,76.25,36.02,-0.0022156724749499415,0.48929694565791365,197.72919533983278
image_37_bg7_syn0.jpg,79.52,46.11,-0.0028587047708765697,1.0865851039040866,89.24293353625544
image_28_bg2_syn2.jpg,73.74,54.37,-0.003344682240168548,1.1221562548153774,91.92357270920829
image_2_bg2_syn1.jpg,78.57,47.49,-0.002944493494282729,0.6537985962361843,106.60276185808351
image_4_bg2_syn3.jpg,77.64,73.66,-0.004567164698651117,0.8380773146887992,173.94864794188155
image_6_bg0_syn1.jpg,82.05,61.07,-0.0037865700242231525,0.5964858691599205,175.99184370325892
image_12_bg9_syn0.jpg,69.92,50.74,-0.0031456390205519993,0.4921931483779625,170.18684723125307
image_41_bg9_syn4.jpg,81.59,61.16,-0.003762462557919708,1.2109557778915752,105.4364555085329
image_0_bg9_syn0.jpg,77.12,29.82,-0.0018488619032880765,0.6379138971064713,144.19147165397754
image_0_bg2_syn0.jpg,78.04,40.87,-0.0025539521047452194,0.7134008131038344,85.85947975369628
image_35_bg6_syn4.jpg,74.39,44.98,-0.0027670819282989063,0.643274041254493,96.72020319313476
image_15_bg1_syn4.jpg,82.63,81.67,-0.005023909481578876,1.039855484450234,155.09317307614742
image_8_bg7_syn3.jpg,73.43,37.08,-0.0022986896138709307,0.3525157870096477,182.55731922433705
image_23_bg1_syn3.jpg,84.81,73.35,-0.004511968723397223,1.1801314089247708,161.2727475971003
image_2_bg4_syn0.jpg,77.65,26.42,-0.0016377365754971565,0.5103353843437162,151.0411908220509
image_10_bg4_syn0.jpg,77.6,71.51,-0.004398759575159947,0.8230006323456753,142.1863194262368
image_22_bg1_syn1.jpg,78.42,40.61,-0.0024983338764728255,0.3363835375093042,159.27327424296072
image_12_bg4_syn3.jpg,76.5,11.75,-0.0007229999528351164,-0.027102856450803316,205.68829686942075
image_17_bg0_syn2.jpg,79.18,88.8,-0.005593566346997119,1.0487603215191135,190.28369610859406
image_20_bg1_syn3.jpg,77.01,34.75,-0.002137623858380082,0.6302458752493647,66.02849383617665
image_24_bg0_syn1.jpg,77.66,60.74,-0.003765840555207818,0.7757965472589683,111.82713279343903
image_40_bg1_syn3.jpg,75.83,68.78,-0.004264162151906423,0.8905331084497274,159.98493988548668
